TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.374,120.1666667,0.43531062,130.3,0.070029221,125.9649123,0.675958298,144.6956522,2.29E-17,0.014083983,0.334682315
ltr.1_family.375,76.33333333,0.846365139,77.5,0.034189159,76.54385965,0.998306821,79.08695652,1.50E-11,0.034785839,0.018805784
ltr.1_family.376,13.83333333,0.824439628,14.73333333,0.075615334,14.07017544,0.962894914,16.08695652,2.10E-08,0.015370304,0.265444498
ltr.1_family.377,138,0.409472332,141.7666667,0.900624973,140.4736842,0.85362464,151.2608696,4.28E-10,0.018896844,0.18593785
ltr.1_family.378,39.16666667,0.182076543,43.56666667,0.014264204,40.85964912,0.56966899,45.30434783,1.86E-11,0.023390972,0.105040696
ltr.1_family.379,130.8333333,0.146199994,144.3333333,0.039457922,137.6315789,0.92546853,152.173913,4.14E-12,0.024399719,0.083449134
ltr.1_family.38,3.833333333,0.682210386,4,0.141473818,3.842105263,0.583864388,4.956521739,3.40E-11,0.035011233,0.017030691
ltr.1_family.380,28.33333333,0.34141318,36.9,0.035413805,32.01754386,0.871519366,47.04347826,1.28E-13,0.044440462,0.014308386
ltr.1_family.381,6.5,0.238497512,8.1,0.051402003,7.526315789,0.860941729,9.260869565,3.20E-07,0.02263485,0.097428759
ltr.1_family.382,730.1666667,0.280575463,875.9333333,0.04415862,821.5789474,0.928721784,981.5652174,1.44E-07,0.005205607,0.728141226
ltr.1_family.383,30.66666667,0.948650851,32.13333333,0.043354536,30.71929825,0.991463865,34.60869565,1.24E-08,0.020730312,0.132518345
ltr.1_family.384,12.5,0.346382492,15.53333333,0.075588775,13.87719298,0.967559272,20.30434783,4.11E-17,0.015157873,0.274940148
ltr.1_family.385,27.16666667,0.616828362,28.03333333,0.654458973,27.49122807,0.656476418,28.86956522,0.005975671,0.029003696,0.043730446
ltr.1_family.386,10.16666667,0.752385248,10.16666667,0.321346159,9.719298246,0.952543964,11.17391304,8.74E-06,0.032032488,0.026937425
