"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"212","Munich_4_7",0.069587026,0.15437039,0.776042584,"Germany",2018,"Contemp",NA,48.137154,11.576124
"213","Munich_48_12",0.20641619,0.029202401,0.764381408,"Germany",2018,"Contemp",NA,48.137154,11.576124
"214","Munich_48_13",0.176346025,0.153410498,0.670243477,"Germany",2018,"Contemp",NA,48.137154,11.576124
"215","Munich_48_15",0.119570138,0.000695151,0.879734711,"Germany",2018,"Contemp",NA,48.137154,11.576124
"216","Munich_48_18",0.136216609,0.034737497,0.829045894,"Germany",2018,"Contemp",NA,48.137154,11.576124
"217","Munich_48_19",0.148729468,0.232428208,0.618842324,"Germany",2018,"Contemp",NA,48.137154,11.576124
"218","Munich_48_4",0.043679842,0.126361357,0.829958801,"Germany",2018,"Contemp",NA,48.137154,11.576124
"219","Munich_48_7",0.472838108,0.062989369,0.464172523,"Germany",2018,"Contemp",NA,48.137154,11.576124
"220","Munich_48_8",0.288631771,0.220631816,0.490736413,"Germany",2018,"Contemp",NA,48.137154,11.576124
"221","Munich_49_10",0.262748783,0.033159368,0.704091849,"Germany",2018,"Contemp",NA,48.137154,11.576124
"222","Munich_49_12",0.083376033,0.068409112,0.848214855,"Germany",2018,"Contemp",NA,48.137154,11.576124
"223","Munich_49_17",0.062153432,0.059339946,0.878506621,"Germany",2018,"Contemp",NA,48.137154,11.576124
"224","Munich_49_19",0.116824559,0.011605138,0.871570304,"Germany",2018,"Contemp",NA,48.137154,11.576124
"225","Munich_49_1",0.025415089,0.013576836,0.961008075,"Germany",2018,"Contemp",NA,48.137154,11.576124
"226","Munich_49_20",0.155934842,0.059593392,0.784471766,"Germany",2018,"Contemp",NA,48.137154,11.576124
"227","Munich_49_4",0.088791485,7.4e-07,0.911207775,"Germany",2018,"Contemp",NA,48.137154,11.576124
"228","Munich_49_8",0.155064868,0.066921222,0.77801391,"Germany",2018,"Contemp",NA,48.137154,11.576124
"229","Munich_50_13",0.125369644,0.15070233,0.723928026,"Germany",2018,"Contemp",NA,48.137154,11.576124
"230","Munich_50_14",0.162944012,0.054465153,0.782590835,"Germany",2018,"Contemp",NA,48.137154,11.576124
"231","Munich_50_15",0.120038788,1e-09,0.879961211,"Germany",2018,"Contemp",NA,48.137154,11.576124
"232","Munich_50_16",0.076140239,0.268702472,0.655157289,"Germany",2018,"Contemp",NA,48.137154,11.576124
"233","Munich_50_17",0.113763509,0.129215582,0.757020909,"Germany",2018,"Contemp",NA,48.137154,11.576124
"234","Munich_50_1",0.09992304,0.109724422,0.790352538,"Germany",2018,"Contemp",NA,48.137154,11.576124
"235","Munich_50_3",0.050093143,0.044962257,0.9049446,"Germany",2018,"Contemp",NA,48.137154,11.576124
"236","Munich_50_4",0.138214764,0.179438846,0.68234639,"Germany",2018,"Contemp",NA,48.137154,11.576124
"237","Munich_50_7",0.126576757,0.183223038,0.690200204,"Germany",2018,"Contemp",NA,48.137154,11.576124
"238","Munich_5_10",0.052943702,0.60774308,0.339313218,"Germany",2018,"Contemp",NA,48.137154,11.576124
"239","Munich_51_10",0.197767965,0.04173471,0.760497325,"Germany",2018,"Contemp",NA,48.137154,11.576124
"240","Munich_51_13",0.215137804,0.062055083,0.722807113,"Germany",2018,"Contemp",NA,48.137154,11.576124
"241","Munich_51_15",0.046018914,0.089815929,0.864165157,"Germany",2018,"Contemp",NA,48.137154,11.576124
"242","Munich_51_16",0.153449409,0.036649612,0.809900979,"Germany",2018,"Contemp",NA,48.137154,11.576124
